Journal,Issn,Eissn,Description,Publisher,Societies,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Endocrinology and Metabolism,0193-1849,1522-1555,"""The American Journal of Physiology-Endocrinology and Metabolism publishes original, mechanistic studies on the physiology of endocrine and metabolic systems. Physiological, cellular, and molecular studies in whole animals or humans will be considered.""",American Physiological Society,American Physiological Society,https://journals.physiology.org/editorial-policies,0,No mention,2,"""APS now requires authors to explain their data sharing plan by including weblinks (preferably DOIs) to source data and data sets, following the SUPPLEMENTAL MATERIAL section.""",0,No mention,0,No mention,0,"""Authors are strongly encouraged to refer to the ARRIVE Guidelines Checklist in preparation for reporting the methods and results of animal studies."" Does not mention guidelines for a majority of empirical research.",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,2
Cell Physiology,0363-6143,1522-1563,"""The American Journal of Physiology-Cell Physiology is dedicated to innovative approaches to the study of cell and molecular physiology. Contributions that use cellular and molecular approaches to shed light on mechanisms of physiological control at higher levels of organization also appear regularly. Manuscripts dealing with the structure and function of cell membranes, contractile systems, cellular organelles, and membrane channels, transporters, and pumps are encouraged. Studies dealing with integrated regulation of cellular function, including mechanisms of signal transduction, development, gene expression, cell-to-cell interactions, and the cell physiology of pathophysiological states, are also eagerly sought. Interdisciplinary studies that apply the approaches of biochemistry, biophysics, molecular biology, morphology, and immunology to the determination of new principles in cell physiology are especially welcome.""",American Physiological Society,American Physiological Society,https://journals.physiology.org/editorial-policies,0,No mention,2,"""APS now requires authors to explain their data sharing plan by including weblinks (preferably DOIs) to source data and data sets, following the SUPPLEMENTAL MATERIAL section.""",0,No mention,0,No mention,0,"""Authors are strongly encouraged to refer to the ARRIVE Guidelines Checklist in preparation for reporting the methods and results of animal studies."" Does not mention guidelines for a majority of empirical research.",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,2
Journal of Investigative Medicine High Impact Case Reports,2324-7096,2324-7096,"""Journal of Investigative Medicine High Impact Case Reports (HIC) is a peer-reviewed open access journal which focuses on high quality case reports representing a critical element of investigative medical science and an important avenue for career development. Please see the Aims and Scope tab for further information.""",SAGE,American Federation for Medical Research,https://journals.sagepub.com/author-instructions/HIC,0,No mention,0,No mention,0,No mention,0,No mention,1,"""The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,1
Journal of Investigative Medicine,1081-5589,1708-8267,"""JIM is peer-reviewed and publishes high-quality original articles, editorials, and reviews in the areas of basic, clinical, and translational medical research. The journal covers all topics and specialty areas critical to the entire spectrum of biomedical research — from the translation of clinical observations at the bedside, to basic and animal research, to clinical research allowing the implementation of innovative medical care.""",SAGE,American Federation for Medical Research,https://journals.sagepub.com/author-instructions/IMJ,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: Cite this data in your research""",0,"""ubject to appropriate ethical and legal considerations, authors are encouraged to:  Share your research data in a relevant public data repository. Include a data availability statement linking to your data. If it is not possible to share your data, use the statement to confirm why it cannot be shared.""",0,No mention,0,No mention,1,"""The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,1
"Exercise, Sport, and Movement",2831-3461,2831-3461,"""The scope of the journal is broad, encompassing scientific, clinical, public health, community, and policy topics in all areas related to sports and exercise medicine, exercise-related physiology, nutrition, metabolism, and physical fitness. Manuscripts addressing movement, fitness, exercise, physical activity, health promotion, sport, and prevention and treatment of injury and disease are welcome.""",,American College of Sports Medicine,https://journals.lww.com/acsm-esm/_layouts/15/1033/oaks.journals/informationforauthors.aspx,,"",1,"""In any article that reports results derived from research data, ESM requires authors to include a data availability statement, even if the data is not publicly available.""",0,"""the sharing of data and code in a public repository is encouraged""",0,No mention,2,"""To maintain a high standard of reporting quality and ensure transparency and reproducibility, ESM requires the use of EQUATOR Network reporting guidelines.""",0,No mention,0,No mention,3,"""Replication studies are welcome in addition to novel studies."" This is under the Registered Reports section.",3,Journal accepts Registered Reports as an article type.,0,No mention,9
Translational Journal of the American College of Sports Medicine,"", 2379-2868,"""​​​​An expert source on the translation of science to action, the Translational Journal of the American College of Sports Medicine (TJACSM) is a peer-reviewed journal of the American College of Sports Medicine publishing original research, clinical trials, systematic review articles, and meta-analysis and policy research that discuss the translational implications of basic, clinical, and policy science to everyday real-world practice. Specifically, studies that apply basic and clinical research findings that move discovery and knowledge into clinical practice and community settings will be published.""",,American College of Sports Medicine,https://journals.lww.com/acsm-tj/_layouts/15/1033/oaks.journals/informationforauthors.aspx,0,No mention,1,"""TJACSM requires the inclusion of a data availability statement for all articles that report results derived from research data.""",0,No mention,0,No mention,1,"""TJACSM endorses the use of EQUATOR Network reporting guidelines in order to ensure research transparency and reproducibility.""",0,Only mentions clinical trials.,0,No mention,0,No mention,1,"Publishes ""well-designed studies with null findings"".",0,No mention,3
Redox Biochemistry and Chemistry,"2773-1766
","","""Redox Biochemistry and Chemistry (RBC) is an open access, multidisciplinary platform bridging the fields of redox biochemistry, chemistry, pollution/environmental health research, toxicology and antioxidant mechanisms.

RBC publishes chemistry and biochemistry-based studies on redox reactions involving proteins and components, lipids, cholesterol and cholesterol esters, RNA, DNA and components, carbohydrates and antioxidants, methodologies, and approaches for the detection, identification, characterization and quantitation of redox intermediates and products (e.g. redox probes, kinetics, EPR, MS, CD, fluorimetry, structural biology, computational (bio)chemistry).

The Journal welcomes quality original full-length articles, short communications, invited reviews, and hypothesis papers. All submissions are initially assessed by the Editors-in-Chief before being independently peer reviewed by at least two expert referees.""",Elsevier,Society for Redox Biology and Medicine,https://www.sciencedirect.com/journal/redox-biochemistry-and-chemistry,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List.""",0,"'""Data statement To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,1
Advances in Redox Research,"2667-1379
","","""Advances in Redox Research is a peer-reviewed interdisciplinary journal which provides a platform for quality original research papers, short communications, invited reviews, and hypothesis papers focused on the broadest range of studies in oxidation-reduction (redox) processes in biology, biological chemistry, and health and disease - if biologically relevant.

Novelty, methodologic accuracy, and soundness of conclusions are indispensable criteria for submission of papers. Confirmative or largely descriptive observations without valid data are not suitable for submission. Studies involving screening of food/plant materials will only be considered if the active component is both identified and quantified.""",Elsevier,Society for Redox Biology and Medicine,https://www.sciencedirect.com/journal/advances-in-redox-research,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List.""",0,"""Data statement To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,No mention,0,No mention,0,No mention,0,"""Novelty, methodologic accuracy, and soundness of conclusions are indispensable criteria for submission of papers. Confirmative or largely descriptive observations without valid data are not suitable for submission.""",0,"""Novelty, methodologic accuracy, and soundness of conclusions are indispensable criteria for submission of papers. Confirmative or largely descriptive observations without valid data are not suitable for submission.""",0,No mention,1
Medicine & Science in Sports & Exercise,0195-9131,1530-0315,"""Medicine & Science in Sports & Exercise® features original investigations, clinical studies, and comprehensive reviews on current topics in sports medicine and exercise science. With this leading peer-reviewed multidisciplinary journal, exercise physiologists, physiatrists, physical therapists, team physicians, and at​hletic trainers get a vital exchange of information from basic and applied science, medicine, education, and allied health fields.​""",,American College of Sports Medicine,https://journals.lww.com/acsm-msse/_layouts/15/1033/oaks.journals/informationforauthors.aspx,0,No mention,1,"""MSSE requires authors to include in any articles that report results derived from research data to include a Data Availability Statement.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,1
ImmunoHorizons,"",2573-7732,"""ImmunoHorizons is a fully open access, peer-reviewed, online-only journal committed to advancing the knowledge of immunology.""",,The American Association of Immunologists,https://journals.aai.org/immunohorizons/pages/information_for_authors,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
The Journal of Immunology,0022-1767,1550-6606,"""The Journal of Immunology publishes peer-reviewed manuscripts describing novel findings in all areas of experimental immunology, including both basic and clinical studies.""",,The American Association of Immunologists,https://journals.aai.org/jimmunol/pages/information_for_authors,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Anatomical Record,1932-8486,1932-8494,"""The journal focuses on major new findings in the anatomical consequences of gene disruption, activation, or over expression upon cell, tissue, or organ architecture and also recognizes the importance of descriptive studies in contemporary research, particularly when framed in the context of experimental models or questions.""",Wiley,"",https://anatomypubs.onlinelibrary.wiley.com/hub/journal/19328494/homepage/forauthors.html,1,"""In recognition of the significance of data as an output of research effort, Wiley has endorsed the FORCE11 Data Citation Principles. Data must be cited in the same way as article, book, and web citations and authors are required to include data citations as part of their reference list.""",1,"""This journal encourages and peer reviews data sharing. Review Wiley’s Data Sharing policy where you will be able to see and select the data availability statement that is right for your submission."" DAS seems to be required.",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,2
Anatomical Sciences Education,1935-9780,"","""The aim of this journal is to provide an international forum for the exchange of ideas, opinions, innovations and research on topics related to education in the anatomical sciences of gross anatomy, embryology, histology, and neurosciences at all levels of anatomical sciences education including, undergraduate, graduate, post-graduate, allied health, medical (both allopathic and osteopathic), and dental.""",Wiley,American Association for Anatomy,https://anatomypubs.onlinelibrary.wiley.com/hub/journal/19359780/homepage/forauthors.html,1,"""In recognition of the significance of data as an output of research effort, Wiley has endorsed the FORCE11 Data Citation Principles. Data must be cited in the same way as article, book, and web citations and authors are required to include data citations as part of their reference list.""",1,"""This journal encourages and peer reviews data sharing. Review Wiley’s Data Sharing policy where you will be able to see and select the data availability statement that is right for your submission."" DAS seems to be required.",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,2
Biology of Reproduction,0006-3363, 1529-7268,"""Biology of Reproduction (BOR) is the official journal of the Society for the Study of Reproduction and publishes original research on a broad range of topics in the field of reproductive biology, as well as reviews on topics of current importance or controversy. BOR is consistently one of the most highly cited journals publishing original research in the field of reproductive biology.""",Oxford University Press,Society for the Study of Reproduction,https://academic.oup.com/biolreprod,2,"""BOR supports the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI).""",1,"""Biology of Reproduction operates under a Level 2 Data Availability Policy which states that the journal strongly encourages all authors, where ethically possible, to publicly release all data underlying any published paper.... Authors are required to include a Data Availability Statement in the article text.""",0,No mention,2,"""All reagents and research materials not commercially available, including but not limited to plasmids, antibodies, cell lines, hybridomas, DNA sequences, and expression array data used in the studies reported, are freely available to other researchers.""",0,No mention,0,No mention,0,"",0,No mention,0,No mention,0,No mention,5
Histochemistry and Cell Biology,0948-6143,1432-119X,"Histochemistry and Cell Biology is devoted to the field of molecular histology and cell biology, publishing original articles dealing with the localization and identification of molecular components, metabolic activities and cell biological aspects of cells and tissues. Coverage extends to the development, application, and/or evaluation of methods and probes that can be used in the entire area of histochemistry and cell biology.",Springer,"",https://www.springer.com/journal/418/submission-guidelines,0,"""The journal recommends that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""All original research must include a data availability statement.""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,2
Clinical & Experimental Metastasis,0262-0898,1573-7276,"The Journal's scope encompasses all aspects of metastasis research, whether laboratory-based, experimental or clinical and therapeutic. It covers such areas as molecular biology, pharmacology, tumor biology, and clinical cancer treatment (with all its subdivisions of surgery, chemotherapy and radio-therapy as well as pathology and epidemiology) insofar as these disciplines are concerned with the Journal's core subject of metastasis formation, prevention and treatment.",Springer,"",https://www.springer.com/journal/10585/submission-guidelines,0,"""The journal recommends that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""All original research must include a data availability statement.""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,2
Neuroscience Bulletin,1673-7067,1995-8218,"""NB aims to publish research advances in the field of neuroscience and promote exchange of scientific ideas within the community. The journal publishes original papers on various topics in neuroscience and focuses on potential disease implications on the nervous system.""",Springer,"",https://www.springer.com/journal/12264/submission-guidelines,0,No mention,1,"""The authors should include the following statement in manuscript declaration: The datasets generated during and/or analyzed during the current study are available from the corresponding author upon reasonable request.""",0,No mention,0,No mention,1,Links to ARRIVE guidelines,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,2
Journal of Computational Neuroscience,"0929-5313
",1573-6873,"""Journal of Computational Neuroscience welcomes full length original papers, rapid communications, review articles, and perspective papers describing theoretical and experimental work relevant to computations in the brain and nervous system. Papers that combine theoretical and experimental work are especially encouraged. Primarily, theoretical papers should deal with issues of obvious relevance to biological nervous systems. Experimental papers should have implications for the computational function of the nervous system, and may report results using any of a variety of approaches including anatomy, electrophysiology, biophysics, imaging, and molecular biology. Papers investigating the physiological mechanisms underlying pathologies of the nervous system, or papers that report novel technologies of interest to researchers in computational neuroscience, including advances in neural data analysis methods with the potential to yield insights into the function of the nervous system, are also welcomed. It is anticipated that all levels of analysis from cognitive to cellular will be represented in the Journal of Computational Neuroscience. However, papers that are primarily devoted to new methods or analyses should demonstrate their utility for the investigation of mechanisms or principles of neural function.""",Springer,"",https://www.springer.com/journal/10827/submission-guidelines,0,No mention,0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Clinical trials only,0,No mention,0,No mention,0,No mention,0,No mention,1
Psychopharmacology,0033-3158,1432-2072,"""Psychopharmacology is an international journal of research and scholarship, the aims of which are to cover the general area of elucidating the neurochemical mechanisms that affect behavior, all terms understood in the broadest sense.""",Springer,"",https://www.springer.com/journal/213/submission-guidelines,0,No mention,1,"""Links to deposited datasets or datasets in additional files should be explicitly referenced in a section entitled “Availability of data and materials”.""",1,"""If computer code was used to generate results that are central to the paper’s conclusions, a statement should be included in the “Availability of data and materials” section to indicate whether and how the code can be accessed, including version information as necessary and information on possible restrictions on availability.""",0,Does not mention materials separate from data or code.,1,Provides EQUATOR Network Link,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,3
Medical Microbiology and Immunology,0300-8584,1432-1831,"""Medical Microbiology and Immunology covers all aspects of the interrelationship between infectious agents and their hosts. Among the major topics covered are microbial and viral pathogenesis and the immunological host response to infections. The journal also publishes information from other fields of microbiology, including mycology and parasitology.""",Springer,"",https://www.springer.com/journal/430/submission-guidelines,1,"""Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list.""",0,"""Where a widely established research community expectation for data archiving in public repositories exists, submission to a community-endorsed, public repository is mandatory."" and ""The journal encourages authors to provide a statement of Data availability in their article.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Clinical trials only,0,No mention,0,No mention,0,No mention,0,No mention,2
Metabolic Brain Disease,"",1573-7365,"""Metabolic Brain Disease serves as a forum for the publication of outstanding basic and clinical papers on all metabolic brain disease, including both human and animal studies. The journal publishes papers on the fundamental pathogenesis of these disorders and on related experimental and clinical techniques and methodologies.""",Springer,"",https://www.springer.com/journal/11011/submission-guidelines,1,"""The journal also requires that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""All original research must include a data availability statement.""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,3
Immunologic Research,0257-277X,1559-0755,"""IMMUNOLOGIC RESEARCH represents a unique medium for the presentation, interpretation, and clarification of complex scientific data. Information is presented in the form of interpretive synthesis reviews, original research articles, symposia, editorials, and theoretical essays.""",Springer,"",https://www.springer.com/journal/12026/submission-guidelines,0,"""Data sharing and data citation is encouraged""",0,"""Data sharing and data citation is encouraged""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,1
Acta Neurologica Belgica,0300-9009,2240-2993,"""Acta Neurologica Belgica presents original articles in the clinical and basic neurosciences, and also reports the proceedings and the abstracts of the scientific meetings of the different partner societies. The contents include commentaries, editorials, review articles, case reports, neuro-images of interest, book reviews and letters to the editor.""",Springer,"",https://www.springer.com/journal/13760/submission-guidelines,1,"""Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list. Data citations should include the minimum information recommended by DataCite: authors, title, publisher (repository name), identifier.""",0,"""Data sharing and evidence of data sharing encouraged""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,2
Bulletin of Experimental Biology and Medicine,0007-4888,1573-8221,"""Bulletin of Experimental Biology and Medicine is a translation of two Russian journals: Byulleten Eksperimental'noi Biologii i Meditsiny and Kletochnye Tekhnologii v Biologii i Meditsine.

Bulletin of Experimental Biology and Medicine is a prestigious bilingual biomedical journal, highly appreciated in Russian scientific community.
The journal presents original peer reviewed research papers and brief reports on priority new research results in physiology, biochemistry, biophysics, pharmacology, immunology, microbiology, genetics, oncology, and other topics. Recently introduced sections of the journal, Biogerontology and Human Ecology, cover novel trends in science.
Worldwide scientific interest in stem cells prompted the inclusion of the quarterly scientific journal Cell Technologies in Biology and Medicine. This journal publishes only original papers from the leading research institutions on molecular biology of stem and progenitor cells, stem cells as the basis of gene therapy, molecular language of cell-to-cell communication, cytokines, chemokines, growth and other factors, pilot projects on clinical use of stem and progenitor cells.""",Springer,"",https://www.springer.com/journal/10517/submission-guidelines,0,No mention,0,"""Upon request authors should be prepared to send relevant documentation or data in order to verify the validity of the results presented. This could be in the form of raw data, samples, records, etc.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Angiogenesis,0969-6970,1573-7209,"""Angiogenesis is an international peer-reviewed journal devoted to the publication of top quality original articles and reviews on the cellular and molecular mechanisms that regulate angiogenesis in physiological and pathological conditions. As a central source for rapid communications representing the full spectrum of angiogenesis research, this multidisciplinary journal publishes innovative experimental studies using molecular, in vitro, animal model systems and clinical investigations of angiogenic diseases. Angiogenesis also reports on novel therapeutic approaches for promoting or inhibiting angiogenesis as well as new markers and techniques for disease diagnosis and prognosis.""",Springer,"",https://www.springer.com/journal/10456/submission-guidelines,2,"""The journal also requires that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""This journal operates a type 3 research data policy... Data availability All original research must include a data availability statement.""",0,"""Peer reviewers are entitled to request access to underlying data (and code) when needed for them to perform their evaluation of a manuscript.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Clinical trials only,0,No mention,0,No mention,0,No mention,0,No mention,4
Cellular Oncology,2211-3436,2211-3428,"""Cellular Oncology publishes scientific contributions from various biomedical and clinical disciplines involved in basic and translational cancer research on the cell and tissue level, technical and bioinformatics developments in this area, and clinical applications.""",Springer,"",https://www.springer.com/journal/13402/submission-guidelines,1,"""The journal also requires that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""Data sharing encouraged and statements of data availability required""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,3
Journal of Clinical Immunology,0271-9142,1573-2592,"""The Journal of Clinical Immunology is an international journal that publishes high impact papers in the area of human immunology that explore the diagnosis, pathogenesis, prognosis, or treatment of human diseases. The Journal is particularly focused on primary immunodeficiencies and related diseases. These include inborn errors of immunity, in the broad sense of the term, their underlying genotypes, and their diverse phenotypes, including infection, malignancy, allergy, auto-inflammation, and autoimmunity. We consider a wide range of studies in this area, ranging from genetic discovery, clinical description, immunologic assessment, diagnostic approach, prognosis evaluation, and treatment intervention. This well-established journal publishes articles on basic, translational, and clinical studies including relevant animal models and case reports of general significance.""",Springer,"",https://www.springer.com/journal/10875,1,"""Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list. Data citations should include the minimum information recommended by DataCite: authors, title, publisher (repository name), identifier.""",0,"""This journal operates a type 2 research data policy (life sciences).  The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Clinical trials only,0,No mention,0,No mention,0,No mention,0,No mention,2
European Journal of Clinical Pharmacology,0031-6970,1432-1041,"""The European Journal of Clinical Pharmacology publishes original papers on all aspects of clinical pharmacology and drug therapy in humans. Manuscripts are welcomed on the following topics: therapeutic trials, pharmacokinetics/pharmacodynamics, pharmacogenetics, drug metabolism, adverse drug reactions, drug interactions, all aspects of drug development, development relating to teaching in clinical pharmacology, pharmacoepidemiology, and matters relating to the rational prescribing and safe use of drugs.""",Springer,"",https://www.springer.com/journal/228/submission-guidelines,1,"""The journal also requires that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""Data sharing encouraged and statements of data availability required""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,3
Brain Topography,1573-6792,0896-0267,"""Publishes clinical and basic research on cognitive neuroscience and functional neurophysiology. Appropriate venue for case/clinical studies from one or a cohort of patients/subjects that provide insights into the neural basis of a psychiatric or neurological impairment and/or the efficacy of a novel therapy.""",Springer,"",https://www.springer.com/journal/10548/submission-guidelines,1,"""The journal also requires that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""Data sharing encouraged and statements of data availability required""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,3
Inflammation,0360-3997,1573-2576,"""Inflammation publishes the latest international advances in experimental and clinical research on the physiology, biochemistry, cell biology, and pharmacology of inflammation. Contributions include full-length scientific reports, short definitive articles, and papers from meetings and symposia proceedings. The journal's coverage includes acute and chronic inflammation; mediators of inflammation; mechanisms of tissue injury and cytotoxicity; pharmacology of inflammation; and clinical studies of inflammation and its modification.""",Springer,"",https://www.springer.com/journal/10753,1,"""Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list. Data citations should include the minimum information recommended by DataCite: authors, title, publisher (repository name), identifier.""",0,"""This journal operates a type 1 research data policy. The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository. Authors and editors who do not have a preferred repository should consult Springer Nature’s list of repositories and research data policy.""",0,"""Data transparency All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.""",0,No mention,1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Clinical trials only,0,No mention,0,No mention,0,No mention,0,No mention,2
Neurochemical Research,0364-3190,1573-6903,"""Neurochemical Research is devoted to the rapid publication of studies that use neurochemical methodology in research on nervous system structure and function.""",Springer,"",https://www.springer.com/journal/11064/submission-guidelines,1,"""The journal also requires that authors cite any publicly available data on which the conclusions of the paper rely.""",1,"""Data sharing encouraged and statements of data availability required""",0,"""Data, Material and/or Code availability""",0,"""Data, Material and/or Code availability""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Only mentions clinical trials.,0,No mention,0,No mention,0,No mention,0,No mention,3
Med-X,"",2731-8710,"""Med-X is an international and high-quality open-access journal that publishes breakthrough papers across the areas of Biomedical Engineering. The journal aims to provide an international and interdisciplinary platform for communicating the latest important discoveries and innovations in basic and applied biomedical sciences and technologies, through publishing state-of-the-art research articles, rapid communications, case reports, reviews, perspectives and commentaries.""",Springer,"",https://www.springer.com/journal/44258,2,"""The journal also requires that authors cite any publicly available data on which the conclusions of the paper rely in the manuscript. Data citations should include a persistent identifier (such as a DOI) and should ideally be included in the reference list. Citations of datasets, when they appear in the reference list, should include the minimum information recommended by DataCite and follow journal style. Dataset identifiers including DOIs should be expressed as full URLs.""",1,"""This journal operates a type 3 research data policy (life sciences). A submission to the journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any researcher wishing to use them for non-commercial purposes, without breaching participant confidentiality.  The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers.""",0,"""Peer reviewers are entitled to request access to underlying data (and code) when needed for them to perform their evaluation of a manuscript.""",0,"""Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements.""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,Clinical trials only,0,No mention,0,No mention,0,No mention,0,No mention,4
